Year,KenPom Rank,Team,CONF,Seed Number,AdjEM,AdjO,AdjD,AdjT,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,POSTSEASON
2016,80,South Dakota St. ,Sum,12,9.57,111.4,101.8,68.3,-0.23,104.6,104.8,1.91,64
2016,229,Southern ,SWAC,16,-5.75,100.5,106.3,68.9,-8.52,99.1,107.6,3.49,68
2016,41,Stephen F. Austin ,Slnd,14,15.62,112.2,96.6,67.3,-5.88,102.7,108.6,4.79,32
2016,94,Stony Brook ,AE,13,8.13,107.3,99.1,67.2,-5.6,103.3,108.9,4.38,64
2016,27,Syracuse ,ACC,10,18.57,112.7,94.1,65,10.21,110.9,100.7,-0.82,4
2016,86,Temple ,Amer,10,8.82,107,98.1,65.9,6.33,107.8,101.5,3.7,64
2016,39,Texas ,B12,6,16.19,113,96.8,65.3,12.54,111.5,99,5.55,64
2016,18,Texas A&M ,SEC,3,21.26,113.8,92.5,67.1,8.48,109.6,101.1,3.15,16
2016,54,Texas Tech ,B12,8,13.78,113.2,99.4,66,10.66,110.4,99.7,0.62,64
2016,65,Tulsa ,Amer,11,11.5,111.2,99.7,68.4,5.54,107,101.4,1.46,68
2016,131,UNC Asheville ,BSth,15,3.44,103.6,100.1,70.1,-4.12,103.4,107.5,2.64,64
2016,83,UNC Wilmington ,CAA,13,9.21,110.7,101.5,70.3,0.85,105.7,104.9,-3.9,64
2016,49,USC ,P12,8,14.25,113.9,99.7,71,7.61,108.7,101.1,-1.65,64
2016,33,Utah ,P12,3,16.79,115.6,98.8,65.3,9.79,109.8,100,1.9,64
2016,25,Vanderbilt ,SEC,11,18.76,113.6,94.9,67.8,8.6,109.2,100.6,3.68,64
2016,31,VCU ,A10,10,17.07,112.1,95,69.6,3.82,107.3,103.5,0.95,64
2016,1,Villanova ,BE,2,32.01,122.8,90.8,66,10.74,110.5,99.7,2.98,32
